Date,Count,Total,Avg,Max
2025-01-01,156855,9513630491.1,60652.389092473946,10000000.0
2025-01-02,140520,10890575414.24,77501.95996470253,10000000.0
2025-01-03,3491,465595080.04,133370.11745631625,7728992.56
2025-01-04,9619,973314145.11,101186.6249204699,10000000.0
2025-01-05,6555,526729364.64,80355.35692448512,10000000.0
2025-01-06,133774,11509528654.56,86037.11225320316,10000000.0
2025-01-07,134698,10937116877.17,81197.3219882255,10000000.0
2025-01-08,147251,11689352150.08,79383.85579778744,10000000.0
2025-01-09,145447,10645830942.46,73193.88466217935,10000000.0
2025-01-10,125291,10546616107.1,84176.96488255342,10000000.0
2025-01-11,139759,11017572430.09,78832.65070650191,10000000.0
2025-01-12,125599,9207948511.9,73312.27567018845,10000000.0
2025-01-13,132410,12149820438.81,91759.0849543841,10000000.0
2025-01-14,126155,11078641102.16,87817.69333090246,10000000.0
2025-01-15,129434,11175538792.63,86341.60106795741,10000000.0
2025-01-16,124180,10391145869.67,83678.09526228056,10000000.0
2025-01-17,132110,12070480122.9,91366.89215729316,10000000.0
2025-01-18,12616,1374746092.28,108968.46007292328,10000000.0
2025-01-19,4966,777463316.17,156557.25255134917,10000000.0
2025-01-20,7248,858686300.61,118472.17171771523,10000000.0
2025-01-21,8867,1069871735.57,120657.689812789,10000000.0
2025-01-22,18737,1850392483.85,98756.07001387628,10000000.0
2025-01-23,18077,1643606614.33,90922.53218620346,10000000.0
2025-01-24,12309,1295428442.83,105242.37897717117,10000000.0
2025-01-25,21392,1912139671.86,89385.73634349288,10000000.0
2025-01-26,5721,815144591.88,142482.88618772943,10000000.0
2025-01-27,3302,710979623.3,215317.87501514232,10000000.0
2025-01-28,5751,797699105.91,138706.15647887322,10000000.0
2025-01-29,19382,2023027892.73,104376.63258332474,10000000.0
2025-01-30,4550,759032447.04,166820.3180307692,10000000.0
